01:24:58 START 6 batches, 134 plants, model=qwen/qwen3.8-27b, notink=True, maxtok=8000
07:17:49 batch 11 [4/14] Picrasma crenata: OK 157s id=picrasma_crenata
07:19:52 batch 11 [5/14] Picrasma excelsa: OK 123s id=picrasma_excelsa
07:22:00 batch 11 [6/14] Picrasma javanica: OK 128s id=picrasma_javanica
07:24:42 batch 11 [7/14] Vestia foetida: OK 162s id=vestia_foetida
07:27:25 batch 11 [8/14] Symplocos racemosa: OK 163s id=symplocos_racemosa
07:37:58 batch 11 [9/14] Grewia mollis: OK 634s id=grewia_mollis
07:40:31 batch 11 [10/14] Fagonia cretica: OK 153s id=fagonia_cretica
07:43:05 batch 11 [11/14] Nitraria schoberi: OK 154s id=nitraria_schoberi
07:45:09 batch 11 [12/14] Peganum nigellastrum: OK 124s id=peganum_nigellastrum
07:49:05 batch 11 [13/14] Tribulus terrestris: OK 236s id=tribulus_terrestris
07:52:52 batch 11 [14/14] Zygophyllum fabago: OK 227s id=zygophyllum_fabago
07:52:52 batch 11: COMPLETE 14 -> out_11.js
07:52:52 ALL BATCHES DONE
